INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182004054,423,Aggravated Assault,ASSAULT - AGGRAVATED,, ,,1/15/18 20:58,2018,1,Monday,20,Part One,RUTHERFORD,-1,-1,"(-1.00000000, -1.00000000)"
I172092248,2662,Ballistics,BALLISTICS EVIDENCE/FOUND,A7,36,,11/4/17 10:12,2017,11,Saturday,10,Part Two,HARBORSIDE DR,42.36252502,-71.02533782,"(42.36252502, -71.02533782)"
I162030914,3111,License Violation,LICENSE PREMISE VIOLATION,A7,36,,4/21/16 13:16,2016,4,Thursday,13,Part Three,HARBORSIDE DR,42.36252502,-71.02533782,"(42.36252502, -71.02533782)"
I182002072,3109,Police Service Incidents,SERVICE TO OTHER PD INSIDE OF MA.,A7,36,,1/7/18 14:30,2018,1,Sunday,14,Part Three,HARBORSIDE DR,42.36252502,-71.02533782,"(42.36252502, -71.02533782)"
I182002072,3201,Property Lost,PROPERTY - LOST,A7,36,,1/7/18 14:30,2018,1,Sunday,14,Part Three,HARBORSIDE DR,42.36252502,-71.02533782,"(42.36252502, -71.02533782)"
I172040944,3201,Property Lost,PROPERTY - LOST,A7,36,,4/20/17 11:30,2017,4,Thursday,11,Part Three,HARBORSIDE DR,42.36252502,-71.02533782,"(42.36252502, -71.02533782)"
I172014180,3201,Property Lost,PROPERTY - LOST,A7,36,,2/21/17 12:05,2017,2,Tuesday,12,Part Three,HARBORSIDE DR,42.36252502,-71.02533782,"(42.36252502, -71.02533782)"
I172010819,3201,Property Lost,PROPERTY - LOST,A7,36,,2/5/17 15:00,2017,2,Sunday,15,Part Three,HARBORSIDE DR,42.36252502,-71.02533782,"(42.36252502, -71.02533782)"
I162053356,3201,Property Lost,PROPERTY - LOST,A7,36,,7/5/16 9:00,2016,7,Tuesday,9,Part Three,HARBORSIDE DR,42.36252502,-71.02533782,"(42.36252502, -71.02533782)"
I162028697,3201,Property Lost,PROPERTY - LOST,A7,36,,3/23/16 0:00,2016,3,Wednesday,0,Part Three,HARBORSIDE DR,42.36252502,-71.02533782,"(42.36252502, -71.02533782)"
I162023450,3201,Property Lost,PROPERTY - LOST,A7,36,,3/25/16 23:30,2016,3,Friday,23,Part Three,HARBORSIDE DR,42.36252502,-71.02533782,"(42.36252502, -71.02533782)"
I152078529,3201,Property Lost,PROPERTY - LOST,A7,36,,9/20/15 16:00,2015,9,Sunday,16,Part Three,HARBORSIDE DR,42.36252502,-71.02533782,"(42.36252502, -71.02533782)"
I162015208,3106,Property Related Damage,PROPERTY - ACCIDENTAL DAMAGE,A7,19,,2/18/16 5:15,2016,2,Thursday,5,Part Three,HARBORSIDE DR,42.36252502,-71.02533782,"(42.36252502, -71.02533782)"
I172064809,3109,Police Service Incidents,SERVICE TO OTHER PD INSIDE OF MA.,A7,33,,8/8/17 8:36,2017,8,Tuesday,8,Part Three,MARGINAL ST,42.36377794,-71.02958502,"(42.36377794, -71.02958502)"
I172019938,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY ¾DAMAGE,A7,36,,3/13/17 19:32,2017,3,Monday,19,Part Three,JEFFRIES ST,42.36395987,-71.03029604,"(42.36395987, -71.03029604)"
I172064393,706,Auto Theft,AUTO THEFT - MOTORCYCLE / SCOOTER,A7,34,,8/7/17 2:21,2017,8,Monday,2,Part One,MARGINAL ST,42.36423833,-71.03344046,"(42.36423833, -71.03344046)"
I172064393,735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),A7,34,,8/7/17 2:21,2017,8,Monday,2,Other,MARGINAL ST,42.36423833,-71.03344046,"(42.36423833, -71.03344046)"
I172052346,1001,Counterfeiting,FORGERY / COUNTERFEITING,A7,34,,6/27/17 0:00,2017,6,Tuesday,0,Part Two,MARGINAL ST,42.36423833,-71.03344046,"(42.36423833, -71.03344046)"
I172009679,2629,Harassment,HARASSMENT,A7,34,,2/4/17 6:11,2017,2,Saturday,6,Part Two,MARGINAL ST,42.36423833,-71.03344046,"(42.36423833, -71.03344046)"
I152076647,2629,Harassment,HARASSMENT,A7,34,,9/14/15 21:59,2015,9,Monday,21,Part Two,MARGINAL ST,42.36423833,-71.03344046,"(42.36423833, -71.03344046)"
I152060211,3116,Harbor Related Incidents,HARBOR INCIDENT / VIOLATION,A7,34,,7/21/15 10:19,2015,7,Tuesday,10,Part Three,MARGINAL ST,42.36423833,-71.03344046,"(42.36423833, -71.03344046)"
I162038267,3115,Investigate Person,INVESTIGATE PERSON,A7,34,,5/16/16 17:00,2016,5,Monday,17,Part Three,MARGINAL ST,42.36423833,-71.03344046,"(42.36423833, -71.03344046)"
I172077980,3114,Investigate Property,INVESTIGATE PROPERTY,A7,34,,9/19/17 12:31,2017,9,Tuesday,12,Part Three,MARGINAL ST,42.36423833,-71.03344046,"(42.36423833, -71.03344046)"
I172033463,3114,Investigate Property,INVESTIGATE PROPERTY,A7,34,,4/29/17 14:10,2017,4,Saturday,14,Part Three,MARGINAL ST,42.36423833,-71.03344046,"(42.36423833, -71.03344046)"
I162087287,3114,Investigate Property,INVESTIGATE PROPERTY,A7,34,,10/24/16 17:52,2016,10,Monday,17,Part Three,MARGINAL ST,42.36423833,-71.03344046,"(42.36423833, -71.03344046)"
I162084585,619,Larceny,LARCENY ALL OTHERS,A7,34,,10/15/16 17:36,2016,10,Saturday,17,Part One,MARGINAL ST,42.36423833,-71.03344046,"(42.36423833, -71.03344046)"
I172050698,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,A7,34,,6/23/17 18:00,2017,6,Friday,18,Part One,MARGINAL ST,42.36423833,-71.03344046,"(42.36423833, -71.03344046)"
I152088580,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,A7,34,,10/24/15 18:00,2015,10,Saturday,18,Part One,MARGINAL ST,42.36423833,-71.03344046,"(42.36423833, -71.03344046)"
I152078041,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,A7,34,,9/19/15 16:24,2015,9,Saturday,16,Part One,MARGINAL ST,42.36423833,-71.03344046,"(42.36423833, -71.03344046)"
I182012226,3007,Medical Assistance,SUDDEN DEATH,A7,34,,2/15/18 15:10,2018,2,Thursday,15,Part Three,MARGINAL ST,42.36423833,-71.03344046,"(42.36423833, -71.03344046)"
I162101295,3002,Medical Assistance,ANIMAL CONTROL - DOG BITES - ETC.,A7,34,,12/10/16 15:00,2016,12,Saturday,15,Part Three,MARGINAL ST,42.36423833,-71.03344046,"(42.36423833, -71.03344046)"
I162059428,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A7,34,,7/25/16 18:35,2016,7,Monday,18,Part Three,MARGINAL ST,42.36423833,-71.03344046,"(42.36423833, -71.03344046)"
I162051540,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A7,34,,6/29/16 9:55,2016,6,Wednesday,9,Part Three,MARGINAL ST,42.36423833,-71.03344046,"(42.36423833, -71.03344046)"
I172105617,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY ¾DAMAGE,A7,34,,12/21/17 16:35,2017,12,Thursday,16,Part Three,MARGINAL ST,42.36423833,-71.03344046,"(42.36423833, -71.03344046)"
I172099148,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A7,34,,11/28/17 21:30,2017,11,Tuesday,21,Part Three,MARGINAL ST,42.36423833,-71.03344046,"(42.36423833, -71.03344046)"
I172067797,2647,Other,THREATS TO DO BODILY HARM,A7,34,,8/17/17 13:00,2017,8,Thursday,13,Part Two,MARGINAL ST,42.36423833,-71.03344046,"(42.36423833, -71.03344046)"
I152085538,2647,Other,THREATS TO DO BODILY HARM,A7,34,,10/14/15 19:11,2015,10,Wednesday,19,Part Two,MARGINAL ST,42.36423833,-71.03344046,"(42.36423833, -71.03344046)"
I172085877,1402,Vandalism,VANDALISM,A7,34,,10/14/17 17:33,2017,10,Saturday,17,Part Two,MARGINAL ST,42.36423833,-71.03344046,"(42.36423833, -71.03344046)"
I162042044,3301,Verbal Disputes,VERBAL DISPUTE,A7,34,,5/29/16 8:47,2016,5,Sunday,8,Part Three,MARGINAL ST,42.36423833,-71.03344046,"(42.36423833, -71.03344046)"
I162075267,423,Aggravated Assault,ASSAULT - AGGRAVATED,A7,33,,9/15/16 8:01,2016,9,Thursday,8,Part One,JEFFRIES ST,42.36426279,-71.03005524,"(42.36426279, -71.03005524)"
I172104215,1109,Fraud,FRAUD - WIRE,A7,34,,12/17/17 15:47,2017,12,Sunday,15,Part Two,JEFFRIES ST,42.36426279,-71.03005524,"(42.36426279, -71.03005524)"
I152091251,3114,Investigate Property,INVESTIGATE PROPERTY,A7,34,,11/2/15 19:00,2015,11,Monday,19,Part Three,JEFFRIES ST,42.36426279,-71.03005524,"(42.36426279, -71.03005524)"
I182004614,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A7,33,,1/18/18 5:09,2018,1,Thursday,5,Part Three,JEFFRIES ST,42.36426279,-71.03005524,"(42.36426279, -71.03005524)"
I162099625,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A7,33,,12/6/16 20:46,2016,12,Tuesday,20,Part Three,JEFFRIES ST,42.36426279,-71.03005524,"(42.36426279, -71.03005524)"
I162010265,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A7,33,,2/7/16 13:08,2016,2,Sunday,13,Part Three,JEFFRIES ST,42.36426279,-71.03005524,"(42.36426279, -71.03005524)"
I162000895,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A7,33,,1/4/16 9:31,2016,1,Monday,9,Part Three,JEFFRIES ST,42.36426279,-71.03005524,"(42.36426279, -71.03005524)"
I152069716,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A7,33,,8/22/15 19:06,2015,8,Saturday,19,Part Three,JEFFRIES ST,42.36426279,-71.03005524,"(42.36426279, -71.03005524)"
I162085885,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A7,33,,10/20/16 5:16,2016,10,Thursday,5,Part Three,JEFFRIES ST,42.36426279,-71.03005524,"(42.36426279, -71.03005524)"
I152087938,3402,Service,ANIMAL INCIDENTS,A7,34,,10/23/15 7:05,2015,10,Friday,7,Part Three,JEFFRIES ST,42.36426279,-71.03005524,"(42.36426279, -71.03005524)"
I172092536,1402,Vandalism,VANDALISM,A7,33,,11/2/17 20:00,2017,11,Thursday,20,Part Two,JEFFRIES ST,42.36426279,-71.03005524,"(42.36426279, -71.03005524)"
I172031509,3114,Investigate Property,INVESTIGATE PROPERTY,A7,33,,4/23/17 1:46,2017,4,Sunday,1,Part Three,SUMNER ST,42.36429803,-71.0291726,"(42.36429803, -71.02917260)"
I182012801,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A7,33,,2/17/18 21:06,2018,2,Saturday,21,Part Three,SUMNER ST,42.36429803,-71.0291726,"(42.36429803, -71.02917260)"
I172057941,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY ¾DAMAGE,A7,33,,7/17/17 17:26,2017,7,Monday,17,Part Three,SUMNER ST,42.36429803,-71.0291726,"(42.36429803, -71.02917260)"
I152065757,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,A7,33,,8/9/15 2:26,2015,8,Sunday,2,Part Three,SUMNER ST,42.36429803,-71.0291726,"(42.36429803, -71.02917260)"
I152065757,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY ¾DAMAGE,A7,33,,8/9/15 2:26,2015,8,Sunday,2,Part Three,SUMNER ST,42.36429803,-71.0291726,"(42.36429803, -71.02917260)"
I182000362,3625,Other,DANGEROUS OR HAZARDOUS CONDITION,A7,33,,1/2/18 13:04,2018,1,Tuesday,13,Part Three,SUMNER ST,42.36429803,-71.0291726,"(42.36429803, -71.02917260)"
I162025001,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A7,33,,3/31/16 18:30,2016,3,Thursday,18,Part Two,SUMNER ST,42.36429803,-71.0291726,"(42.36429803, -71.02917260)"
I172047363,3410,Towed,TOWED MOTOR VEHICLE,A7,33,,6/14/17 4:21,2017,6,Wednesday,4,Part Three,SUMNER ST,42.36429803,-71.0291726,"(42.36429803, -71.02917260)"
I172048396,3410,Towed,TOWED MOTOR VEHICLE,A7,33,,6/16/17 23:59,2017,6,Friday,23,Part Three,JEFFRIES ST,42.36456572,-71.02981443,"(42.36456572, -71.02981443)"
I172067671,3115,Investigate Person,INVESTIGATE PERSON,A7,33,,8/17/17 2:31,2017,8,Thursday,2,Part Three,SUMNER ST,42.36462909,-71.02996048,"(42.36462909, -71.02996048)"
I162100254,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A7,33,,12/8/16 19:51,2016,12,Thursday,19,Part Three,SUMNER ST,42.36462909,-71.02996048,"(42.36462909, -71.02996048)"
I162087149,2647,Other,THREATS TO DO BODILY HARM,A7,34,,10/24/16 13:54,2016,10,Monday,13,Part Two,SUMNER ST,42.36462909,-71.02996048,"(42.36462909, -71.02996048)"
I172107312,3115,Investigate Person,INVESTIGATE PERSON,A7,34,,12/30/17 9:34,2017,12,Saturday,9,Part Three,WEBSTER ST,42.36469369,-71.03048361,"(42.36469369, -71.03048361)"
I152063011,3115,Investigate Person,INVESTIGATE PERSON,A7,34,,8/1/15 19:40,2015,8,Saturday,19,Part Three,WEBSTER ST,42.36469369,-71.03048361,"(42.36469369, -71.03048361)"
I152086333,619,Larceny,LARCENY ALL OTHERS,A7,34,,10/17/15 13:27,2015,10,Saturday,13,Part One,WEBSTER ST,42.36469369,-71.03048361,"(42.36469369, -71.03048361)"
I152069693,3502,Missing Person Located,MISSING PERSON - LOCATED,A7,34,,8/20/15 19:00,2015,8,Thursday,19,Part Three,WEBSTER ST,42.36469369,-71.03048361,"(42.36469369, -71.03048361)"
I152063011,3502,Missing Person Located,MISSING PERSON - LOCATED,A7,34,,8/1/15 19:40,2015,8,Saturday,19,Part Three,WEBSTER ST,42.36469369,-71.03048361,"(42.36469369, -71.03048361)"
I152069693,3501,Missing Person Reported,MISSING PERSON,A7,34,,8/20/15 19:00,2015,8,Thursday,19,Part Three,WEBSTER ST,42.36469369,-71.03048361,"(42.36469369, -71.03048361)"
I152063011,3501,Missing Person Reported,MISSING PERSON,A7,34,,8/1/15 19:40,2015,8,Saturday,19,Part Three,WEBSTER ST,42.36469369,-71.03048361,"(42.36469369, -71.03048361)"
I162101273,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,A7,34,,12/9/16 17:30,2016,12,Friday,17,Part One,WEBSTER ST,42.36469369,-71.03048361,"(42.36469369, -71.03048361)"
I162028355,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A7,34,,4/12/16 14:54,2016,4,Tuesday,14,Part Two,WEBSTER ST,42.36469369,-71.03048361,"(42.36469369, -71.03048361)"
I162067457,3410,Towed,TOWED MOTOR VEHICLE,A7,34,,8/20/16 10:56,2016,8,Saturday,10,Part Three,WEBSTER ST,42.36469369,-71.03048361,"(42.36469369, -71.03048361)"
I162055815,3114,Investigate Property,INVESTIGATE PROPERTY,A7,34,,7/13/16 19:30,2016,7,Wednesday,19,Part Three,WEBSTER ST,42.36472452,-71.03129314,"(42.36472452, -71.03129314)"
I162020163,619,Larceny,LARCENY ALL OTHERS,A7,34,,3/15/16 12:12,2016,3,Tuesday,12,Part One,WEBSTER ST,42.36472452,-71.03129314,"(42.36472452, -71.03129314)"
I152076710,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,A7,34,,9/12/15 17:00,2015,9,Saturday,17,Part One,WEBSTER ST,42.36472452,-71.03129314,"(42.36472452, -71.03129314)"
I152067924,3001,Medical Assistance,DEATH INVESTIGATION,A7,34,,8/16/15 14:50,2015,8,Sunday,14,Part Three,WEBSTER ST,42.36472452,-71.03129314,"(42.36472452, -71.03129314)"
I152066770,3109,Police Service Incidents,SERVICE TO OTHER PD INSIDE OF MA.,A7,34,,8/12/15 17:31,2015,8,Wednesday,17,Part Three,WEBSTER ST,42.36472452,-71.03129314,"(42.36472452, -71.03129314)"
I162023049,3410,Towed,TOWED MOTOR VEHICLE,A7,34,,3/24/16 23:40,2016,3,Thursday,23,Part Three,WEBSTER ST,42.36472452,-71.03129314,"(42.36472452, -71.03129314)"
I162070896,2629,Harassment,HARASSMENT,A7,34,,8/31/16 15:56,2016,8,Wednesday,15,Part Two,ALNA PL,42.36472559,-71.03308995,"(42.36472559, -71.03308995)"
I172093362,3115,Investigate Person,INVESTIGATE PERSON,A7,36,,11/8/17 0:30,2017,11,Wednesday,0,Part Three,TERMINAL RD,42.36477676,-71.01928255,"(42.36477676, -71.01928255)"
I172016602,3111,License Violation,LICENSE PREMISE VIOLATION,A7,36,,3/1/17 16:55,2017,3,Wednesday,16,Part Three,TERMINAL RD,42.36477676,-71.01928255,"(42.36477676, -71.01928255)"
I172016594,3111,License Violation,LICENSE PREMISE VIOLATION,A7,36,,3/1/17 16:11,2017,3,Wednesday,16,Part Three,TERMINAL RD,42.36477676,-71.01928255,"(42.36477676, -71.01928255)"
I162007255,3111,License Violation,LICENSE PREMISE VIOLATION,A7,36,,1/27/16 16:18,2016,1,Wednesday,16,Part Three,TERMINAL RD,42.36477676,-71.01928255,"(42.36477676, -71.01928255)"
I172059060,3807,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER CITY VEHICLE,A7,36,,7/21/17 8:12,2017,7,Friday,8,Part Three,TERMINAL RD,42.36477676,-71.01928255,"(42.36477676, -71.01928255)"
I172008470,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,A7,34,,1/16/17 12:00,2017,1,Monday,12,Part Two,WEBSTER ST,42.36478915,-71.03234663,"(42.36478915, -71.03234663)"
I172010500,2629,Harassment,HARASSMENT,A7,34,,2/8/17 12:15,2017,2,Wednesday,12,Part Two,WEBSTER ST,42.36478915,-71.03234663,"(42.36478915, -71.03234663)"
I162078356,3115,Investigate Person,INVESTIGATE PERSON,A7,34,,9/24/16 21:30,2016,9,Saturday,21,Part Three,WEBSTER ST,42.36478915,-71.03234663,"(42.36478915, -71.03234663)"
I162069323,3115,Investigate Person,INVESTIGATE PERSON,A7,34,,8/26/16 15:37,2016,8,Friday,15,Part Three,WEBSTER ST,42.36478915,-71.03234663,"(42.36478915, -71.03234663)"
I172018752,3114,Investigate Property,INVESTIGATE PROPERTY,A7,34,,3/9/17 11:06,2017,3,Thursday,11,Part Three,WEBSTER ST,42.36478915,-71.03234663,"(42.36478915, -71.03234663)"
I172032094,619,Larceny,LARCENY ALL OTHERS,A7,34,,4/24/17 23:09,2017,4,Monday,23,Part One,WEBSTER ST,42.36478915,-71.03234663,"(42.36478915, -71.03234663)"
I152085062,619,Larceny,LARCENY ALL OTHERS,A7,34,,9/28/15 17:00,2015,9,Monday,17,Part One,WEBSTER ST,42.36478915,-71.03234663,"(42.36478915, -71.03234663)"
